,index,CO_CATEGORIA_ADMINISTRATIVA,CO_ORGANIZACAO_ACADEMICA,CO_TURNO_ALUNO,CO_GRAU_ACADEMICO,CO_MODALIDADE_ENSINO,CO_COR_RACA_ALUNO,NU_ANO_ALUNO_NASC,NU_MES_ALUNO_NASC,NU_DIA_ALUNO_NASC,CO_UF_NASCIMENTO,DT_INGRESSO_CURSO,IN_FINANC_ESTUDANTIL,IN_ING_CONVENIO_PECG,IN_SEXO_ALUNO,IN_MOBILIDADE_ACADEMICA,NO_OCDE_AREA_GERAL
"158,fe20ce99d76b99d56a8ed74d4e90fc4a174b0b36,2.0,1.0,4.0,1.0,1.0,0.0,1997,8,10,33.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"160,7ab0115a480e597d632e019336f49a309a757767,2.0,1.0,4.0,1.0,1.0,1.0,1992,9,20,42.0,2011-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"162,726f9d3ee56df9e867dde7bffe605a3707009898,1.0,1.0,4.0,1.0,1.0,1.0,1995,11,5,42.0,2015-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"163,e235ab8b14cb2b7d451104e9cb24e85942d3fba2,5.0,2.0,3.0,1.0,1.0,1.0,1988,6,17,42.0,2014-01-07,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"165,47e6a4d0cd25a85d873931942afea965ebffedca,1.0,1.0,4.0,1.0,1.0,1.0,1997,3,3,42.0,2015-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"166,7675a7426362e7103f5b3e59d2e4c0f524d7554e,5.0,3.0,3.0,3.0,1.0,1.0,1972,11,15,42.0,2011-01-01,0.0,,0.0,0.0,""Engenharia, produção e construção"""
"175,2fde85e086b45f46cdda1526b096b386bcf234e0,2.0,1.0,4.0,1.0,1.0,1.0,1997,8,21,42.0,2015-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"182,b0b87951dc8ba2c4ca3882859d720ff6ab1d49a4,5.0,2.0,3.0,1.0,1.0,1.0,1992,11,18,43.0,2015-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"184,2524ea04ea57291a6679d443adad9229624d8a45,1.0,1.0,4.0,1.0,1.0,1.0,1994,9,27,,2016-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"190,6b2469b1d537e886f4993f356aac09911c5d7195,1.0,4.0,3.0,3.0,1.0,1.0,1967,1,11,42.0,2012-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"197,e6c8bed9d92ac6ea6726d9e8362e5ead44a5333d,2.0,1.0,4.0,1.0,1.0,1.0,1996,4,3,42.0,2014-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"201,c7e0d663699818c1e975c401a0014eabfe899785,4.0,3.0,3.0,1.0,1.0,1.0,1990,9,9,41.0,2011-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"203,c59cce668bbdf04abaafb8a609ccdf6f482aa017,1.0,1.0,4.0,1.0,1.0,1.0,1990,8,17,35.0,2011-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"208,5bec4f2c7c25349385f3ca1212c7bf2400e2646b,1.0,1.0,4.0,1.0,1.0,3.0,1996,2,23,27.0,2016-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"209,aa6287ee54d4baf995ff6b472d3362dc7dd6782b,1.0,4.0,2.0,1.0,1.0,3.0,1993,6,13,42.0,2016-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"210,4c3b001ed7090e2577ee2387ad8fa948916056b9,1.0,1.0,4.0,1.0,1.0,1.0,1989,11,30,35.0,2012-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"214,e38ec5dea9216a8489b98160e8f84dd3f978d63e,1.0,1.0,4.0,1.0,1.0,1.0,1997,2,7,42.0,2015-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"215,c812665e63ca04950c80ac2c468bcebe5d76db23,4.0,3.0,3.0,1.0,1.0,0.0,1979,10,23,,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"217,d996745148faceb595ec67d9d904c8cecc353d15,1.0,1.0,4.0,1.0,1.0,1.0,1995,9,26,42.0,2013-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"218,1b7c35ff27832a2813409932c5a471ebc490828d,5.0,2.0,3.0,1.0,1.0,1.0,1988,7,8,42.0,2009-01-01,0.0,,0.0,0.0,""Engenharia, produção e construção"""
"220,2e0fd6cb8ca5e1a014cc011e5b54f7ed409982d1,5.0,1.0,3.0,1.0,1.0,1.0,1996,4,9,42.0,2014-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"222,c9dfc77255962ce02c04eaa2c711f67cf4131d1d,4.0,3.0,3.0,1.0,1.0,4.0,1986,8,10,,2013-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"224,e1a12bd2b003e4c84afa5d7abf5f232ddf1c8ed0,5.0,2.0,3.0,1.0,1.0,1.0,1996,3,25,42.0,2013-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"226,a2e94c361cbf7d23502ccc187f2d757dab6405ba,5.0,2.0,3.0,1.0,1.0,1.0,1995,3,20,42.0,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"228,27d423623cf2d17ee128851ad74499e009a3bd63,5.0,2.0,3.0,1.0,1.0,1.0,1993,6,26,42.0,2014-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"230,e65b59d8f52baa06fdcb61566a641386b5ecf0f9,5.0,3.0,3.0,3.0,1.0,0.0,1985,9,12,42.0,2013-01-01,0.0,,0.0,0.0,""Engenharia, produção e construção"""
"233,09d88f9351269f617c2c0d90c6d41dca064adc23,4.0,3.0,3.0,1.0,1.0,3.0,1994,9,4,,2016-01-07,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"234,6c88aab0f7edb92b6c7f48b54db3e4533a688d6c,4.0,3.0,3.0,1.0,1.0,1.0,1998,3,25,42.0,2016-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"236,0faa292505158d8a7b09918cadb8f5f96cc2d9df,5.0,2.0,3.0,1.0,1.0,1.0,1997,6,26,42.0,2015-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"239,d3d699606ce5daf47a3b8157c7ebe0fcc7c9af5c,1.0,4.0,3.0,3.0,1.0,1.0,1978,4,6,42.0,2015-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"244,599909ea69843c5bfac1cecd711076f4bf3dbc29,1.0,4.0,4.0,3.0,1.0,1.0,1994,8,22,42.0,2015-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"246,e68a9ea2e6bb7bb8c276ec2efd0fc9c714c487f7,1.0,4.0,1.0,1.0,1.0,0.0,1985,1,4,41.0,2016-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"247,94aef98dcee60e3a90df6f3a05ad0dc7302ab299,4.0,3.0,3.0,1.0,1.0,1.0,1996,2,29,,2016-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"250,013186cb0df15042f17a272047336463c8de1cff,2.0,1.0,3.0,1.0,1.0,1.0,1993,6,20,42.0,2011-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"252,e269e149aa24517197be720ec96724263790d705,1.0,1.0,4.0,1.0,1.0,2.0,1994,10,11,42.0,2012-01-01,,0.0,0.0,,""Engenharia, produção e construção"""
"256,6098e407ccbdf0cfcc7b98f8d0cbd8050e0a488e,4.0,3.0,3.0,1.0,1.0,1.0,1982,7,22,,2011-01-07,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"258,e6be282201fc57c5cf269dacd9e397ae78862023,1.0,4.0,3.0,3.0,1.0,1.0,1996,10,25,42.0,2015-01-01,,,1.0,0.0,""Engenharia, produção e construção"""
"260,83ba883b3294687ab2bcabaa8b72fb7620b51aeb,1.0,1.0,4.0,1.0,1.0,1.0,1997,12,18,42.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"262,2d6d52db2103b751932d3f8a6b4598d66aa611ab,1.0,1.0,4.0,1.0,1.0,3.0,1987,6,8,42.0,2008-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"263,ceae8dfa65478c102c803120ff18d54aea07375c,2.0,1.0,4.0,1.0,1.0,2.0,1994,10,13,42.0,2013-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"267,77068c32b0b3cb8da012b423dd7df89208d304af,5.0,2.0,3.0,1.0,1.0,1.0,1997,9,17,42.0,2015-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"284,3bde52c7f31e293678745f9ba02afeaa5b780428,1.0,1.0,4.0,1.0,1.0,1.0,1995,8,28,41.0,2015-01-07,,0.0,1.0,,""Engenharia, produção e construção"""
"285,a6daece56863fc7f5948f2ce0f2c5570bca57872,5.0,2.0,3.0,1.0,1.0,1.0,1993,11,17,42.0,2013-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"287,f1d9f40fdf8bd979bc77bb5dce8240fd3cbc9176,5.0,2.0,3.0,1.0,1.0,3.0,1991,2,2,41.0,2013-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"291,0bed971369b7b50af455997b6e9944ac359dc07f,1.0,1.0,4.0,1.0,1.0,1.0,1997,1,4,,2015-01-07,,1.0,0.0,0.0,""Engenharia, produção e construção"""
"292,122f095ac6705767221229e794d7a24c14d9cc5c,5.0,1.0,3.0,1.0,1.0,0.0,1981,9,17,43.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"295,e9bd532ae0bdd0707fdfb0414f4af03c7b5f3921,4.0,3.0,3.0,1.0,1.0,2.0,1978,9,25,,2013-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"297,28a67d1012e3ea720ace9f78a60ba9ad703556c4,5.0,1.0,3.0,1.0,1.0,0.0,1998,10,20,42.0,2016-01-07,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"302,061c71acabc947c9a889813d1e9ca479b608e14e,1.0,1.0,4.0,1.0,1.0,1.0,1995,2,4,41.0,2012-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"309,082c2c047cf2a40e5a61ca8d369ca37a06710930,2.0,1.0,4.0,1.0,1.0,1.0,1996,10,12,42.0,2015-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"311,4f661b793a26747c83ea17f37dc1e59903999c2f,1.0,1.0,4.0,1.0,1.0,1.0,1995,6,10,42.0,2014-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"312,119609a21449f1af8b03befe9847669c772904be,1.0,4.0,4.0,1.0,1.0,1.0,1986,7,3,42.0,2015-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"319,8fcbf28fe635ac3d910ea279f48ea022c5bfced8,5.0,1.0,3.0,1.0,1.0,0.0,1995,9,17,42.0,2014-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"323,1d74671edff4ea4da7aebf02a0ae02724f0e56ba,4.0,3.0,3.0,1.0,1.0,3.0,1991,5,29,,2013-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"324,3fa5dbd4fe7e33b8ff3a7b15ea07b7bff538a78c,5.0,2.0,3.0,1.0,1.0,1.0,1997,4,8,41.0,2016-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"325,437824fdb5000f85cab2e1ab49faef77fbefa7db,1.0,1.0,4.0,1.0,1.0,1.0,1997,4,23,35.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"329,ad979fb3ed7350a8aaad4a69957be512f312e317,1.0,1.0,4.0,1.0,1.0,2.0,1996,8,12,42.0,2016-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"339,72abae6c7f330d7b62e08018195c9ca04055d1db,5.0,2.0,3.0,1.0,1.0,1.0,1965,10,5,42.0,2010-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"341,09946e287203276d7d748eb323a397e6feb53bb7,1.0,1.0,4.0,1.0,1.0,1.0,1994,3,22,42.0,2014-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"346,b155f55293efc4e61a81f0c121e79f0d1d0485bb,1.0,1.0,4.0,1.0,1.0,1.0,1994,7,1,42.0,2012-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"350,1bc8a3edf56c240bb89cf69f59c96147692ceae7,4.0,3.0,3.0,1.0,1.0,1.0,1986,3,24,,2013-01-01,1.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"351,06ff49afb7c6e13ff2a4d935f7b24ee7f66f3729,1.0,1.0,4.0,1.0,1.0,3.0,1994,2,26,42.0,2013-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"361,370e788eb92733f9377b6de7994d0598f35e1de0,1.0,1.0,4.0,1.0,1.0,1.0,1994,11,16,42.0,2015-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"367,b98195925851962e95f5d8cb40dbb942e4bd0e54,1.0,1.0,4.0,1.0,1.0,1.0,1996,1,11,42.0,2014-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"368,f6e8ba741abe642f28d4eafa524ea6982edb3cb3,2.0,1.0,3.0,1.0,1.0,1.0,1995,10,10,42.0,2014-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"369,f1a9b7225cc6463c7638b8b3e5ff147ad3fddb31,1.0,4.0,4.0,3.0,1.0,0.0,1997,9,10,42.0,2016-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"372,76ec825591328ae6134cf50f0a9014fa2416aa8c,5.0,2.0,1.0,1.0,1.0,1.0,1996,12,30,42.0,2015-01-07,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"375,28465da7b11e0278f052ba160c1c716472b2293e,5.0,1.0,3.0,1.0,1.0,3.0,1994,4,11,29.0,2013-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"378,26f77c5b5b070e359ae97b0f92c8c9fc94319a4d,1.0,1.0,4.0,1.0,1.0,1.0,1997,8,1,42.0,2015-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"382,95d77882b4754d7626691566b353a23795dcafff,5.0,2.0,3.0,1.0,1.0,1.0,1994,10,18,42.0,2012-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"387,85124abdd8bce9dccda1bb41b3d4bda900dbda0f,1.0,1.0,4.0,1.0,1.0,1.0,1992,3,13,42.0,2015-01-07,,0.0,0.0,,""Engenharia, produção e construção"""
"397,a42c2d55981d3ae7dd7b559be9ce085692306a68,1.0,4.0,3.0,3.0,1.0,0.0,1992,3,15,42.0,2014-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"398,97dd12b00fe8f4d1e172c062e6982acab66ef1d3,1.0,1.0,4.0,1.0,1.0,1.0,1997,5,5,42.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"400,cabf13bdf9c2022dc9600f716c451444e9093ec0,1.0,4.0,4.0,1.0,1.0,1.0,1990,4,14,43.0,2015-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"409,84ba58bfbf16e97ce7a98dbdbc3f597c75a4ccea,4.0,3.0,3.0,1.0,1.0,3.0,1995,6,25,42.0,2014-01-01,1.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"411,15ae13dd4ecbd36d3244285a34a25d230ef58f37,1.0,1.0,4.0,1.0,1.0,1.0,1994,8,22,35.0,2015-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"415,db7eea17bfd63be2b25c357e3fc9a54d183127f5,1.0,4.0,1.0,1.0,1.0,1.0,1978,9,7,42.0,2015-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"416,69f4acc3a64a624d7ea21990b2bade5f6571f9dd,4.0,3.0,3.0,1.0,1.0,1.0,1991,1,2,,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"418,42216a42eb4b2930020b0ffa940a12551ad31f2d,5.0,1.0,3.0,1.0,1.0,1.0,1995,1,6,42.0,2013-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"419,9ccaf63b16a9df60c987881bafc15fdc06833a7b,4.0,3.0,3.0,1.0,1.0,1.0,1998,3,7,,2016-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
"421,491f2c551e8796fab51ba6f13b785586ab4edf79,1.0,1.0,4.0,1.0,1.0,1.0,1991,6,20,35.0,2016-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"423,f2d30dc1d6e249522b2e899af40deb3ab2adaaf0,4.0,3.0,3.0,1.0,1.0,0.0,1984,3,8,,2016-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"425,cae33c95db83a9e5cf14b15fb58882b5e2245084,1.0,1.0,4.0,1.0,1.0,1.0,1988,10,30,42.0,2010-01-01,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"430,51a75ff60613c66139d5ecdb3982a213ee2a76c5,1.0,1.0,4.0,1.0,1.0,1.0,1992,5,6,42.0,2010-01-07,,0.0,0.0,0.0,""Engenharia, produção e construção"""
"431,03bfea914d5708f3566ea102be2cc8bca06d9962,1.0,4.0,3.0,3.0,1.0,1.0,1977,11,30,42.0,2014-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"433,c88087855ed99bb8183fbc9e8c370a44edace13a,2.0,1.0,4.0,1.0,1.0,1.0,1996,7,19,42.0,2014-01-01,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"435,c793afeb3130b347c3674e738c53b2f8b5c3bb2c,5.0,2.0,1.0,1.0,1.0,1.0,1993,9,7,42.0,2015-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"437,72567af070c8011ba9ee49204e0062f128414888,1.0,1.0,4.0,1.0,1.0,1.0,1997,6,9,42.0,2015-01-07,,0.0,1.0,0.0,""Engenharia, produção e construção"""
"440,45243b6a15482502bd4f1cd98117b07d02e6dd6d,4.0,3.0,3.0,3.0,1.0,1.0,1987,9,20,,2012-01-01,0.0,0.0,0.0,0.0,""Engenharia, produção e construção"""
"444,047a9ae3b0ce288f1faf37c67945213209afc3e5,1.0,4.0,4.0,3.0,1.0,1.0,1992,2,17,42.0,2010-01-01,,,0.0,0.0,""Engenharia, produção e construção"""
"449,aaca46957f43b815faaff2a1405db689f95345ef,1.0,4.0,4.0,1.0,1.0,0.0,1998,5,11,42.0,2016-01-07,,,0.0,0.0,""Engenharia, produção e construção"""
"452,c78a9dc9499df5ce5d18a8ab6510164853a752ef,5.0,2.0,3.0,1.0,1.0,1.0,1996,5,31,42.0,2014-01-01,0.0,0.0,1.0,0.0,""Engenharia, produção e construção"""
